task_id,duration_factor,expected_delay,uncertainty_sigma
C2011-07_1,1.1242,0.5037,0.3302
C2011-07_2,1.1658,0.8282,0.3751
C2011-07_3,1.1577,2.0901,0.8614
C2011-07_4,1.1361,2.6346,0.9699
C2011-07_5,1.1268,2.8883,0.9749
C2011-07_6,1.1087,4.6272,1.7004
C2011-07_7,1.1886,7.6453,1.9996
C2011-07_8,1.1587,11.455,2.7941
C2011-07_9,1.1173,14.27,4.0233
C2011-07_10,1.1079,14.7014,4.0203
C2011-07_11,1.2009,17.9158,4.3022
C2011-07_12,1.1489,21.4901,4.8774
C2011-07_13,1.2039,23.1213,4.8596
C2011-07_14,1.1811,24.5701,4.8134
C2011-07_15,1.1321,26.6834,5.3195
C2011-07_16,1.149,30.2589,6.2386
C2011-07_17,1.1062,30.6838,6.2843
C2011-07_18,1.1219,32.6338,5.8947
C2011-07_19,1.0497,32.8325,5.8627
C2011-07_20,1.1726,14.2171,2.8766
C2011-07_21,1.1225,17.158,3.4073
C2011-07_22,1.1492,19.5449,3.655
C2011-07_23,1.1317,19.8082,3.629
C2011-07_24,1.1339,20.3438,3.5355
C2011-07_25,1.1946,21.1222,3.5904
C2011-07_26,1.0404,21.2837,3.605
C2011-07_27,1.2078,33.2481,5.8926
C2011-07_28,1.1545,33.5571,5.8602
C2011-07_29,1.2178,44.0094,7.1794
C2011-07_30,1.1883,42.5946,7.3955
C2011-07_31,1.0903,34.2793,6.0662
C2011-07_32,1.1319,35.3342,6.3201
C2011-07_33,1.0776,199.4481,47.2451
C2011-07_34,1.1543,34.7917,5.8006
C2011-07_35,1.1448,37.1081,5.8204
C2011-07_36,1.1426,48.5722,7.917
C2011-07_37,1.1436,55.4644,8.9656
C2011-07_38,1.1951,58.5857,9.0284
C2011-07_39,1.1831,61.5161,9.0729
C2011-07_40,1.0958,63.0496,9.3052
C2011-07_41,1.1874,66.0483,9.1739
C2011-07_42,1.1476,68.4106,9.5597
C2011-07_43,1.1268,70.4399,9.8601
C2011-07_44,1.1491,56.6574,9.1079
C2011-07_45,1.1702,58.0193,9.2956
C2011-07_46,1.226,198.8269,47.2518
C2011-07_47,1.1354,199.7188,47.2425
C2011-07_48,1.1948,200.4982,47.2061
C2011-07_49,1.1496,201.6946,47.0704
