source_id,target_id,dependency_type,lag_months,lag_weeks,lag_days,lag_hours
C2012-08_1,C2012-08_2,FS,0,0,0,0
C2012-08_2,C2012-08_3,FS,0,0,0,0
C2012-08_551,C2012-08_11,SS,0,3,4,0
C2012-08_6,C2012-08_7,FS,0,0,0,0
C2012-08_3,C2012-08_526,FS,0,0,0,0
C2012-08_7,C2012-08_526,FS,0,0,0,0
C2012-08_11,C2012-08_526,SS,0,0,3,0
C2012-08_3,C2012-08_527,FS,0,0,0,0
C2012-08_7,C2012-08_527,FS,0,0,0,0
C2012-08_11,C2012-08_527,SS,0,0,3,0
C2012-08_3,C2012-08_528,FS,0,0,0,0
C2012-08_7,C2012-08_528,FS,0,0,0,0
C2012-08_11,C2012-08_528,SS,0,0,3,0
C2012-08_3,C2012-08_529,FS,0,0,0,0
C2012-08_7,C2012-08_529,FS,0,0,0,0
C2012-08_11,C2012-08_529,SS,0,0,3,0
C2012-08_3,C2012-08_530,FS,0,0,0,0
C2012-08_7,C2012-08_530,FS,0,0,0,0
C2012-08_11,C2012-08_530,SS,0,0,3,0
C2012-08_3,C2012-08_531,FS,0,0,0,0
C2012-08_7,C2012-08_531,FS,0,0,0,0
C2012-08_11,C2012-08_531,SS,0,0,3,0
C2012-08_3,C2012-08_532,FS,0,0,0,0
C2012-08_7,C2012-08_532,FS,0,0,0,0
C2012-08_11,C2012-08_532,SS,0,0,3,0
C2012-08_3,C2012-08_533,FS,0,0,0,0
C2012-08_7,C2012-08_533,FS,0,0,0,0
C2012-08_11,C2012-08_533,SS,0,0,3,0
C2012-08_3,C2012-08_534,FS,0,0,0,0
C2012-08_7,C2012-08_534,FS,0,0,0,0
C2012-08_11,C2012-08_534,SS,0,0,3,0
C2012-08_3,C2012-08_535,FS,0,0,0,0
C2012-08_7,C2012-08_535,FS,0,0,0,0
C2012-08_11,C2012-08_535,SS,0,0,3,0
C2012-08_3,C2012-08_536,FS,0,0,0,0
C2012-08_7,C2012-08_536,FS,0,0,0,0
C2012-08_11,C2012-08_536,SS,0,0,3,0
C2012-08_3,C2012-08_537,FS,0,0,0,0
C2012-08_7,C2012-08_537,FS,0,0,0,0
C2012-08_11,C2012-08_537,SS,0,0,3,0
C2012-08_3,C2012-08_538,FS,0,0,0,0
C2012-08_7,C2012-08_538,FS,0,0,0,0
C2012-08_11,C2012-08_538,SS,0,0,3,0
C2012-08_3,C2012-08_539,FS,0,0,0,0
C2012-08_7,C2012-08_539,FS,0,0,0,0
C2012-08_11,C2012-08_539,SS,0,0,3,0
C2012-08_3,C2012-08_540,FS,0,0,0,0
C2012-08_7,C2012-08_540,FS,0,0,0,0
C2012-08_11,C2012-08_540,SS,0,0,3,0
C2012-08_3,C2012-08_541,FS,0,0,0,0
C2012-08_7,C2012-08_541,FS,0,0,0,0
C2012-08_11,C2012-08_541,SS,0,0,3,0
C2012-08_3,C2012-08_542,FS,0,0,0,0
C2012-08_7,C2012-08_542,FS,0,0,0,0
C2012-08_11,C2012-08_542,SS,0,0,3,0
C2012-08_3,C2012-08_543,FS,0,0,0,0
C2012-08_7,C2012-08_543,FS,0,0,0,0
C2012-08_11,C2012-08_543,SS,0,0,3,0
C2012-08_3,C2012-08_544,FS,0,0,0,0
C2012-08_7,C2012-08_544,FS,0,0,0,0
C2012-08_11,C2012-08_544,SS,0,0,3,0
C2012-08_3,C2012-08_545,FS,0,0,0,0
C2012-08_7,C2012-08_545,FS,0,0,0,0
C2012-08_11,C2012-08_545,SS,0,0,3,0
C2012-08_3,C2012-08_546,FS,0,0,0,0
C2012-08_7,C2012-08_546,FS,0,0,0,0
C2012-08_11,C2012-08_546,SS,0,0,3,0
C2012-08_3,C2012-08_547,FS,0,0,0,0
C2012-08_7,C2012-08_547,FS,0,0,0,0
C2012-08_11,C2012-08_547,SS,0,0,3,0
C2012-08_3,C2012-08_548,FS,0,0,0,0
C2012-08_7,C2012-08_548,FS,0,0,0,0
C2012-08_11,C2012-08_548,SS,0,0,3,0
C2012-08_3,C2012-08_549,FS,0,0,0,0
C2012-08_7,C2012-08_549,FS,0,0,0,0
C2012-08_11,C2012-08_549,SS,0,0,3,0
C2012-08_3,C2012-08_550,FS,0,0,0,0
C2012-08_7,C2012-08_550,FS,0,0,0,0
C2012-08_11,C2012-08_550,SS,0,0,3,0
C2012-08_526,C2012-08_12,FS,0,0,0,0
C2012-08_527,C2012-08_13,FS,0,0,0,0
C2012-08_528,C2012-08_14,FS,0,0,0,0
C2012-08_529,C2012-08_196,FS,0,0,0,0
C2012-08_530,C2012-08_197,FS,0,0,0,0
C2012-08_531,C2012-08_198,FS,0,0,0,0
C2012-08_532,C2012-08_199,FS,0,0,0,0
C2012-08_533,C2012-08_200,FS,0,0,0,0
C2012-08_534,C2012-08_201,FS,0,0,0,0
C2012-08_535,C2012-08_202,FS,0,0,0,0
C2012-08_536,C2012-08_203,FS,0,0,0,0
C2012-08_537,C2012-08_204,FS,0,0,0,0
C2012-08_538,C2012-08_205,FS,0,0,0,0
C2012-08_539,C2012-08_206,FS,0,0,0,0
C2012-08_540,C2012-08_207,FS,0,0,0,0
C2012-08_541,C2012-08_208,FS,0,0,0,0
C2012-08_542,C2012-08_209,FS,0,0,0,0
C2012-08_543,C2012-08_210,FS,0,0,0,0
C2012-08_544,C2012-08_211,FS,0,0,0,0
C2012-08_545,C2012-08_212,FS,0,0,0,0
C2012-08_546,C2012-08_213,FS,0,0,0,0
C2012-08_547,C2012-08_214,FS,0,0,0,0
C2012-08_548,C2012-08_215,FS,0,0,0,0
C2012-08_549,C2012-08_216,FS,0,0,0,0
C2012-08_550,C2012-08_217,FS,0,0,0,0
C2012-08_12,C2012-08_16,FS,0,0,0,0
C2012-08_16,C2012-08_17,FS,0,0,0,0
C2012-08_13,C2012-08_162,FS,0,0,0,0
C2012-08_14,C2012-08_218,FS,0,0,0,0
C2012-08_196,C2012-08_219,FS,0,0,0,0
C2012-08_197,C2012-08_220,FS,0,0,0,0
C2012-08_198,C2012-08_221,FS,0,0,0,0
C2012-08_199,C2012-08_222,FS,0,0,0,0
C2012-08_200,C2012-08_223,FS,0,0,0,0
C2012-08_201,C2012-08_224,FS,0,0,0,0
C2012-08_202,C2012-08_225,FS,0,0,0,0
C2012-08_203,C2012-08_226,FS,0,0,0,0
C2012-08_204,C2012-08_227,FS,0,0,0,0
C2012-08_205,C2012-08_228,FS,0,0,0,0
C2012-08_206,C2012-08_229,FS,0,0,0,0
C2012-08_207,C2012-08_230,FS,0,0,0,0
C2012-08_208,C2012-08_231,FS,0,0,0,0
C2012-08_209,C2012-08_232,FS,0,0,0,0
C2012-08_210,C2012-08_233,FS,0,0,0,0
C2012-08_211,C2012-08_234,FS,0,0,0,0
C2012-08_212,C2012-08_235,FS,0,0,0,0
C2012-08_213,C2012-08_236,FS,0,0,0,0
C2012-08_214,C2012-08_237,FS,0,0,0,0
C2012-08_215,C2012-08_238,FS,0,0,0,0
C2012-08_216,C2012-08_239,FS,0,0,0,0
C2012-08_217,C2012-08_240,FS,0,0,0,0
C2012-08_162,C2012-08_241,FS,0,0,0,0
C2012-08_218,C2012-08_242,FS,0,0,0,0
C2012-08_219,C2012-08_243,FS,0,0,0,0
C2012-08_220,C2012-08_244,FS,0,0,0,0
C2012-08_221,C2012-08_245,FS,0,0,0,0
C2012-08_222,C2012-08_246,FS,0,0,0,0
C2012-08_223,C2012-08_247,FS,0,0,0,0
C2012-08_224,C2012-08_248,FS,0,0,0,0
C2012-08_225,C2012-08_249,FS,0,0,0,0
C2012-08_226,C2012-08_250,FS,0,0,0,0
C2012-08_227,C2012-08_251,FS,0,0,0,0
C2012-08_228,C2012-08_252,FS,0,0,0,0
C2012-08_229,C2012-08_253,FS,0,0,0,0
C2012-08_230,C2012-08_254,FS,0,0,0,0
C2012-08_231,C2012-08_255,FS,0,0,0,0
C2012-08_232,C2012-08_256,FS,0,0,0,0
C2012-08_233,C2012-08_257,FS,0,0,0,0
C2012-08_234,C2012-08_258,FS,0,0,0,0
C2012-08_235,C2012-08_259,FS,0,0,0,0
C2012-08_236,C2012-08_260,FS,0,0,0,0
C2012-08_237,C2012-08_261,FS,0,0,0,0
C2012-08_238,C2012-08_262,FS,0,0,0,0
C2012-08_239,C2012-08_263,FS,0,0,0,0
C2012-08_240,C2012-08_264,FS,0,0,0,0
C2012-08_21,C2012-08_25,SS,0,5,5,0
C2012-08_23,C2012-08_25,SS,0,5,5,0
C2012-08_25,C2012-08_337,FS,0,0,0,0
C2012-08_337,C2012-08_338,FS,0,0,0,0
C2012-08_338,C2012-08_339,FS,0,0,0,0
C2012-08_339,C2012-08_340,FS,0,0,0,0
C2012-08_340,C2012-08_341,FS,0,0,0,0
C2012-08_341,C2012-08_342,FS,0,0,0,0
C2012-08_342,C2012-08_343,FS,0,0,0,0
C2012-08_343,C2012-08_344,FS,0,0,0,0
C2012-08_344,C2012-08_345,FS,0,0,0,0
C2012-08_345,C2012-08_346,FS,0,0,0,0
C2012-08_346,C2012-08_347,FS,0,0,0,0
C2012-08_347,C2012-08_348,FS,0,0,0,0
C2012-08_348,C2012-08_349,FS,0,0,0,0
C2012-08_349,C2012-08_350,FS,0,0,0,0
C2012-08_350,C2012-08_351,FS,0,0,0,0
C2012-08_351,C2012-08_352,FS,0,0,0,0
C2012-08_352,C2012-08_353,FS,0,0,0,0
C2012-08_353,C2012-08_354,FS,0,0,0,0
C2012-08_354,C2012-08_355,FS,0,0,0,0
C2012-08_355,C2012-08_356,FS,0,0,0,0
C2012-08_356,C2012-08_357,FS,0,0,0,0
C2012-08_357,C2012-08_358,FS,0,0,0,0
C2012-08_358,C2012-08_359,FS,0,0,0,0
C2012-08_25,C2012-08_29,FS,0,0,0,0
C2012-08_27,C2012-08_29,SS,0,5,5,0
C2012-08_337,C2012-08_360,FS,0,0,0,0
C2012-08_27,C2012-08_360,SS,0,5,5,0
C2012-08_338,C2012-08_361,FS,0,0,0,0
C2012-08_27,C2012-08_361,SS,0,5,5,0
C2012-08_339,C2012-08_362,FS,0,0,0,0
C2012-08_27,C2012-08_362,SS,0,5,5,0
C2012-08_340,C2012-08_363,FS,0,0,0,0
C2012-08_27,C2012-08_363,SS,0,5,5,0
C2012-08_341,C2012-08_364,FS,0,0,0,0
C2012-08_27,C2012-08_364,SS,0,5,5,0
C2012-08_342,C2012-08_365,FS,0,0,0,0
