task_id,baseline_start,baseline_end,predecessors,successors
C2012-08_1,2013-04-20 06:00:00,,[],[]
C2012-08_2,2013-05-05 06:00:00,,['C2012-08_1'],[]
C2012-08_3,2013-05-15 06:00:00,,['C2012-08_2'],[]
C2012-08_551,2013-02-04 06:00:00,,[],[]
C2012-08_11,2013-03-01 06:00:00,,['C2012-08_551'],[]
C2012-08_6,2013-04-06 06:00:00,,[],[]
C2012-08_7,2013-04-21 06:00:00,,['C2012-08_6'],[]
C2012-08_526,2013-05-16 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_527,2013-05-20 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_528,2013-05-24 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_529,2013-05-28 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_530,2013-06-01 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_531,2013-06-05 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_532,2013-06-10 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_533,2013-06-14 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_534,2013-06-18 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_535,2013-06-22 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_536,2013-06-26 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_537,2013-06-30 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_538,2013-07-04 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_539,2013-07-08 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_540,2013-07-12 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_541,2013-07-16 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_542,2013-07-20 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_543,2013-07-24 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_544,2013-07-28 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_545,2013-08-01 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_546,2013-08-05 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_547,2013-08-13 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_548,2013-08-09 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_549,2013-08-17 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_550,2013-08-21 06:00:00,,"['C2012-08_3', 'C2012-08_7', 'C2012-08_11']",[]
C2012-08_12,2013-05-17 06:00:00,,['C2012-08_526'],[]
C2012-08_13,2013-05-21 06:00:00,,['C2012-08_527'],[]
C2012-08_14,2013-05-25 06:00:00,,['C2012-08_528'],[]
C2012-08_196,2013-05-29 06:00:00,,['C2012-08_529'],[]
C2012-08_197,2013-06-02 06:00:00,,['C2012-08_530'],[]
C2012-08_198,2013-06-06 06:00:00,,['C2012-08_531'],[]
C2012-08_199,2013-06-11 06:00:00,,['C2012-08_532'],[]
C2012-08_200,2013-06-15 06:00:00,,['C2012-08_533'],[]
C2012-08_201,2013-06-19 06:00:00,,['C2012-08_534'],[]
C2012-08_202,2013-06-23 06:00:00,,['C2012-08_535'],[]
C2012-08_203,2013-06-27 06:00:00,,['C2012-08_536'],[]
C2012-08_204,2013-07-01 06:00:00,,['C2012-08_537'],[]
C2012-08_205,2013-07-05 06:00:00,,['C2012-08_538'],[]
C2012-08_206,2013-07-09 06:00:00,,['C2012-08_539'],[]
C2012-08_207,2013-07-13 06:00:00,,['C2012-08_540'],[]
C2012-08_208,2013-07-17 06:00:00,,['C2012-08_541'],[]
C2012-08_209,2013-07-21 06:00:00,,['C2012-08_542'],[]
C2012-08_210,2013-07-25 06:00:00,,['C2012-08_543'],[]
C2012-08_211,2013-07-29 06:00:00,,['C2012-08_544'],[]
C2012-08_212,2013-08-02 06:00:00,,['C2012-08_545'],[]
C2012-08_213,2013-08-06 06:00:00,,['C2012-08_546'],[]
C2012-08_214,2013-08-14 06:00:00,,['C2012-08_547'],[]
C2012-08_215,2013-08-10 06:00:00,,['C2012-08_548'],[]
C2012-08_216,2013-08-18 06:00:00,,['C2012-08_549'],[]
C2012-08_217,2013-08-22 06:00:00,,['C2012-08_550'],[]
C2012-08_16,2013-05-19 06:00:00,,['C2012-08_12'],[]
C2012-08_17,2013-05-20 06:00:00,,['C2012-08_16'],[]
C2012-08_162,2013-05-23 06:00:00,,['C2012-08_13'],[]
C2012-08_218,2013-05-27 06:00:00,,['C2012-08_14'],[]
C2012-08_219,2013-05-31 06:00:00,,['C2012-08_196'],[]
C2012-08_220,2013-06-04 06:00:00,,['C2012-08_197'],[]
C2012-08_221,2013-06-08 06:00:00,,['C2012-08_198'],[]
C2012-08_222,2013-06-13 06:00:00,,['C2012-08_199'],[]
C2012-08_223,2013-06-17 06:00:00,,['C2012-08_200'],[]
C2012-08_224,2013-06-21 06:00:00,,['C2012-08_201'],[]
C2012-08_225,2013-06-25 06:00:00,,['C2012-08_202'],[]
C2012-08_226,2013-06-29 06:00:00,,['C2012-08_203'],[]
C2012-08_227,2013-07-03 06:00:00,,['C2012-08_204'],[]
C2012-08_228,2013-07-07 06:00:00,,['C2012-08_205'],[]
C2012-08_229,2013-07-11 06:00:00,,['C2012-08_206'],[]
C2012-08_230,2013-07-15 06:00:00,,['C2012-08_207'],[]
C2012-08_231,2013-07-19 06:00:00,,['C2012-08_208'],[]
C2012-08_232,2013-07-23 06:00:00,,['C2012-08_209'],[]
C2012-08_233,2013-07-27 06:00:00,,['C2012-08_210'],[]
C2012-08_234,2013-07-31 06:00:00,,['C2012-08_211'],[]
C2012-08_235,2013-08-04 06:00:00,,['C2012-08_212'],[]
C2012-08_236,2013-08-08 06:00:00,,['C2012-08_213'],[]
C2012-08_237,2013-08-16 06:00:00,,['C2012-08_214'],[]
C2012-08_238,2013-08-12 06:00:00,,['C2012-08_215'],[]
C2012-08_239,2013-08-20 06:00:00,,['C2012-08_216'],[]
C2012-08_240,2013-08-24 06:00:00,,['C2012-08_217'],[]
C2012-08_241,2013-05-24 06:00:00,,['C2012-08_162'],[]
C2012-08_242,2013-05-28 06:00:00,,['C2012-08_218'],[]
C2012-08_243,2013-06-01 06:00:00,,['C2012-08_219'],[]
C2012-08_244,2013-06-05 06:00:00,,['C2012-08_220'],[]
C2012-08_245,2013-06-10 06:00:00,,['C2012-08_221'],[]
C2012-08_246,2013-06-14 06:00:00,,['C2012-08_222'],[]
C2012-08_247,2013-06-18 06:00:00,,['C2012-08_223'],[]
C2012-08_248,2013-06-22 06:00:00,,['C2012-08_224'],[]
C2012-08_249,2013-06-26 06:00:00,,['C2012-08_225'],[]
C2012-08_250,2013-06-30 06:00:00,,['C2012-08_226'],[]
C2012-08_251,2013-07-04 06:00:00,,['C2012-08_227'],[]
C2012-08_252,2013-07-08 06:00:00,,['C2012-08_228'],[]
C2012-08_253,2013-07-12 06:00:00,,['C2012-08_229'],[]
C2012-08_254,2013-07-16 06:00:00,,['C2012-08_230'],[]
C2012-08_255,2013-07-20 06:00:00,,['C2012-08_231'],[]
C2012-08_256,2013-07-24 06:00:00,,['C2012-08_232'],[]
