ID,name,type,max_availability,unit_cost,energy,overtime_multi,max_overtime_per_day,addres_efficiency
1,Skipper,Human,4,60.0,0.0,1.5,4.0,0.7
2,Welder,Human,8,60.0,0.0,1.5,4.0,0.7
3,Engineer,Human,18,160.0,0.0,1.5,4.0,0.7
4,Special team,Human,2,800.0,0.0,1.5,4.0,0.7
5,Disconnecting team,Human,1,800.0,0.0,1.5,4.0,0.7
6,Commissioning team,Human,1,800.0,0.0,1.5,4.0,0.7
7,Testing team,Human,1,800.0,0.0,1.5,4.0,0.7
8,Diving team,Human,1,900.0,0.0,1.5,4.0,0.7
9,Crane,Machine,3,200.0,50.0,1.0,16.0,0.7
10,Vessel Pompei,Machine,1,3320.0,830.0,1.0,16.0,0.7
11,Vessel Neptune,Machine,1,3750.0,937.5,1.0,16.0,0.7
12,Vessel Vagant,Machine,1,3180.0,795.0,1.0,16.0,0.7
13,Vessel Sternat Spirit,Machine,1,3250.0,812.5,1.0,16.0,0.7
14,Vessel Souverreign,Machine,1,3250.0,812.5,1.0,16.0,0.7
15,Vessel Rambiz,Machine,1,3620.0,905.0,1.0,16.0,0.7
16,Vessel Buzzard,Machine,1,3200.0,800.0,1.0,16.0,0.7
17,Vessel Breydel,Machine,2,3200.0,800.0,1.0,16.0,0.7
18,Vessel Breughel,Machine,1,3200.0,800.0,1.0,16.0,0.7
19,Vessel Pearl River,Machine,1,3250.0,812.5,1.0,16.0,0.7
20,Vessel Maersk,Machine,1,800.0,200.0,1.0,16.0,0.7
21,Vessel Innovator,Machine,1,3250.0,812.5,1.0,16.0,0.7
22,Pre-piling template,Machine,1,200.0,50.0,1.0,16.0,0.7
23,Towning tugs,Machine,2,450.0,112.5,1.0,16.0,0.7
24,Transport barges,Machine,2,400.0,100.0,1.0,16.0,0.7
25,Drilling machine,Machine,2,1200.0,300.0,1.0,16.0,0.7
26,Pulling machine,Machine,1,1300.0,325.0,1.0,16.0,0.7
27,Laborer,Human,60,40.0,0.0,1.5,4.0,0.7
