epoch,total_loss,gae_loss,dgi_loss,cpnt_loss,auc,ap,precision,recall,f1,reconstruction_accuracy,embedding_norm,embedding_shift,cosine_similarity,learning_rate,grad_norm
1,5.628621578216553,8.232795715332031,2.407075881958008,0.5811659097671509,0.8408234715461731,0.8069263696670532,0.6707498144023757,1.0,0.8029326816263054,0.7545655783065855,3.293897867202759,0.0,0.9337267875671387,0.001,16.510459184133833
2,2.9255387783050537,4.0560760498046875,1.5471546649932861,0.7006961107254028,0.8861690163612366,0.8487585186958313,0.6088274932614556,1.0,0.7568586387434556,0.6787493082457111,2.4434094429016113,2.6872174739837646,0.9212766289710999,0.002,16.01380679711418
3,1.7946926355361938,2.1818106174468994,1.560725450515747,0.6361651420593262,0.8899766802787781,0.8620204925537109,0.5590965346534653,1.0,0.7172057948005557,0.6057000553403431,2.6535439491271973,2.1168410778045654,0.9444083571434021,0.003,13.827175738136628
4,2.017988681793213,2.6150104999542236,1.5569723844528198,0.3982617259025574,0.8820532560348511,0.8477537035942078,0.6700037078235076,1.0,0.8023978685612788,0.7537354731599336,2.6768295764923096,1.5946390628814697,0.949811577796936,0.004,12.932436502611587
5,1.9890273809432983,2.642240047454834,1.4425344467163086,0.28699758648872375,0.8832206726074219,0.8496882319450378,0.6692592592592592,1.0,0.8018637674728201,0.7529053680132817,2.141580820083618,1.6119654178619385,0.937589704990387,0.005,11.612490955412843
6,1.482162594795227,1.7805657386779785,1.4362499713897705,0.36507073044776917,0.8899866342544556,0.8581745028495789,0.6675286294791282,1.0,0.800620292423571,0.7509684560044272,2.077467441558838,1.4877327680587769,0.9290731549263,0.006,5.909981461504979
7,1.4087756872177124,1.689042568206787,1.3261797428131104,0.4253684878349304,0.8925445079803467,0.864723801612854,0.6580480699198835,1.0,0.793762354491544,0.7401770890979524,2.007882833480835,1.1610305309295654,0.9291192293167114,0.006999999999999999,5.906638138868768
8,1.3816555738449097,1.646666407585144,1.308224081993103,0.4439983069896698,0.876801609992981,0.8411996960639954,0.6539992761491132,1.0,0.7908096280087528,0.7354731599335916,1.8811694383621216,1.1994054317474365,0.9301543235778809,0.008,5.502580012104762
9,1.3440860509872437,1.5898538827896118,1.2810993194580078,0.46599191427230835,0.8925505876541138,0.8601047396659851,0.6298361798536075,1.0,0.7728828058169375,0.7061427780852241,1.8273221254348755,1.122238039970398,0.9265739917755127,0.009000000000000001,4.322397315688885
10,1.219521403312683,1.3901091814041138,1.1826496124267578,0.5986227989196777,0.8945132493972778,0.8676270842552185,0.6672821270310192,1.0,0.8004429678848284,0.7506917542888766,1.8520723581314087,1.0039572715759277,0.9322469830513,0.01,3.3749756589431055
11,1.2297507524490356,1.4953418970108032,1.1390118598937988,0.3186170756816864,0.8954652547836304,0.8637197613716125,0.6719970249163257,1.0,0.8038256227758007,0.7559490868843387,1.7491285800933838,0.8904954791069031,0.9281846880912781,0.009999706613915567,3.896289197378447
12,1.1501374244689941,1.3422271013259888,1.122489094734192,0.4278588891029358,0.9147533774375916,0.8860484957695007,0.6818867924528302,1.0,0.81085932241418,0.7667404537908135,1.6010819673538208,0.7600552439689636,0.9159073829650879,0.00999882649009242,2.7980900694428867
13,1.0317975282669067,1.171005129814148,1.1145942211151123,0.33697256445884705,0.921332061290741,0.8986452221870422,0.6953004622496148,0.9988931931377975,0.8198955257778788,0.7805755395683454,1.496775507926941,0.7040079236030579,0.9091173410415649,0.009997359731816997,2.051835582613289
14,1.1007328033447266,1.273421287536621,1.087416648864746,0.43217194080352783,0.9019924402236938,0.8718454837799072,0.6678994082840237,0.9994465965688988,0.8007093770782532,0.7512451577199779,1.5519064664840698,0.6461835503578186,0.9131281971931458,0.009995306511219883,1.9032534983331248
15,1.0197497606277466,1.2108086347579956,1.0155707597732544,0.26247894763946533,0.8984302282333374,0.868768036365509,0.6767790262172285,1.0,0.8072369890551708,0.7612064194798007,1.61484694480896,0.5655315518379211,0.9189677238464355,0.009992667069255619,1.8929464195981978
16,1.0641775131225586,1.2755872011184692,0.997732400894165,0.32927998900413513,0.8969204425811768,0.8679599761962891,0.6862894037219901,1.0,0.813963963963964,0.7714443829551744,1.5176838636398315,0.510064423084259,0.9163997769355774,0.009989441715674422,2.2956224386405055
17,1.0203304290771484,1.1500157117843628,1.0652611255645752,0.42670413851737976,0.9181192517280579,0.8982532620429993,0.6928680981595092,1.0,0.8185730464326161,0.7783619258439403,1.4321531057357788,0.4830354154109955,0.9132876396179199,0.009985630828985834,1.8419438559533208
18,1.0378024578094482,1.1814332008361816,1.077501893043518,0.39711397886276245,0.907981276512146,0.8837344646453857,0.6852483883200606,1.0,0.8132313231323132,0.7703375760929718,1.4468413591384888,0.47398969531059265,0.9144134521484375,0.009981234856414306,1.1879258583438923
19,0.9589670896530151,1.1345303058624268,0.9649395942687988,0.24676012992858887,0.9105146527290344,0.8847368359565735,0.6963391136801541,1.0,0.8209904588823261,0.7819590481460985,1.4733750820159912,0.39541488885879517,0.9165740013122559,0.00997625431384671,1.2700278219529237
20,0.9551227688789368,1.1280664205551147,0.9630382657051086,0.2501556873321533,0.9155870079994202,0.8928468227386475,0.6926025297048678,1.0,0.8183876811594203,0.7780852241283895,1.4800760746002197,0.3633018434047699,0.9151579737663269,0.009970689785771798,1.2790426370389063
21,0.96199631690979,1.1226242780685425,0.9576681852340698,0.32669779658317566,0.9162926077842712,0.8946701884269714,0.6931338703490603,1.0,0.8187584956955143,0.7786386275594909,1.4886085987091064,0.35248512029647827,0.9140160083770752,0.009964541925211613,1.152770483590314
22,1.0054891109466553,1.1601344347000122,1.0540668964385986,0.30594488978385925,0.9025821685791016,0.8741217851638794,0.6868110984416572,1.0,0.8143307796304643,0.7719977863862756,1.4470609426498413,0.32419994473457336,0.9120659232139587,0.009957811453644848,1.3810369277750718
23,0.9566782116889954,1.1122891902923584,0.9745952486991882,0.3043724298477173,0.9041677713394165,0.8829174637794495,0.6685164631890492,1.0,0.8013303769401331,0.7520752628666297,1.4233825206756592,0.33660024404525757,0.9101047515869141,0.009950499160922183,1.0867893703600853
24,0.9576578736305237,1.1422587633132935,0.9427025318145752,0.24417941272258759,0.9085982441902161,0.8854400515556335,0.6732488822652757,1.0,0.8047205522155423,0.7573325954620919,1.4269455671310425,0.3298834562301636,0.908939003944397,0.009942605905173593,0.9689613147753043
25,0.9432666301727295,1.1485553979873657,0.8609097003936768,0.25937291979789734,0.9125514030456543,0.8955187797546387,0.6813725490196079,1.0,0.8104956268221575,0.7661870503597122,1.402827501296997,0.29647448658943176,0.9061093330383301,0.009934132612707631,1.184260304679624
26,0.950631320476532,1.1358047723770142,0.9303268194198608,0.24377787113189697,0.9098979830741882,0.8915542960166931,0.6963391136801541,1.0,0.8209904588823261,0.7819590481460985,1.3401390314102173,0.35644012689590454,0.901078999042511,0.009925080277902744,1.3567764498618013
27,0.9181642532348633,1.0954090356826782,0.8988248705863953,0.24141690135002136,0.8969588279724121,0.8745898604393005,0.6737509321401939,1.0,0.8050790822009356,0.7578859988931932,1.3573246002197266,0.3061961829662323,0.9041524529457092,0.00991544996309055,0.8205350883955745
28,0.9248141646385193,1.101053237915039,0.9145838022232056,0.2369081676006317,0.9094824194908142,0.8889020681381226,0.681115718055032,1.0,0.8103139013452915,0.7659103486441616,1.4016920328140259,0.2407928705215454,0.9105080962181091,0.009905242798431196,0.9980393329376848
