epoch,total_loss,cpm_loss,masked_duration_loss,topological_distance_loss,learning_rate,grad_norm,mae_es,mae_ef,mae_ls,mae_lf,mae_tf,mae_pl,mae_mask,critical_path_accuracy,rmse,r2,pearson
1,1.4491512775421143,3.622878074645996,8173.8984375,0.24947895109653473,0.0003333333333333333,3.637447901691239,1.0455622673034668,1.0158159732818604,0.8883747458457947,1.0269577503204346,0.4878416359424591,0.6785344481468201,85.22879028320312,0.5,1.2959481477737427,-0.6794816255569458,0.11082469253981014
2,1.3829618692398071,3.457404613494873,4082.185546875,0.24869000911712646,0.0006666666666666666,3.710525114628924,1.0700244903564453,0.9709092974662781,0.8527971506118774,1.0576581954956055,0.49894511699676514,0.6686291694641113,63.89198303222656,0.625,1.3347772359848022,-0.7816301584243774,0.009042390475148133
3,1.319234848022461,3.2980871200561523,10242.7314453125,0.24133218824863434,0.001,3.2065959602301337,0.9004001617431641,0.9625515937805176,0.8583356142044067,1.0076524019241333,0.49302566051483154,0.6221433281898499,95.97830963134766,0.5625,1.2117429971694946,-0.4683210849761963,0.26323750757886627
4,1.1790930032730103,2.947732448577881,8694.3818359375,0.2440878301858902,0.0013333333333333333,3.117443559957294,0.8322466611862183,0.9038938879966736,0.9090490341186523,0.9490395188331604,0.457347571849823,0.6009165644645691,87.93965911865234,0.65625,1.064961314201355,-0.13414263725280762,0.5730945360588617
5,1.1074604988098145,2.768651247024536,4087.87353515625,0.22907686233520508,0.0016666666666666666,3.01531736830498,0.8069711923599243,0.8684227466583252,0.8389655351638794,0.830207347869873,0.3779168128967285,0.533730149269104,63.93647384643555,0.625,1.0227463245391846,-0.04601013660430908,0.5843658288655543
6,0.9774576425552368,2.4436440467834473,2727.472900390625,0.21857066452503204,0.002,2.516892847458974,0.6427900791168213,0.755890965461731,0.885342538356781,0.8115860223770142,0.4636370539665222,0.4733731746673584,42.65293884277344,0.71875,0.8131136894226074,0.3388460874557495,0.8735490097787004
7,0.8664955496788025,2.166238784790039,20474.46875,0.22709207236766815,0.0023333333333333335,1.9959478650959042,0.531975507736206,0.7183123826980591,0.8957239389419556,0.7444175481796265,0.43685251474380493,0.4293006956577301,127.97384643554688,0.71875,0.6534145474433899,0.5730494260787964,0.8698433526082361
8,0.8148201107978821,2.037050247192383,4092.102294921875,0.20717279613018036,0.0026666666666666666,1.826469991672941,0.4676527678966522,0.6318459510803223,0.8276841044425964,0.8154965043067932,0.45624029636383057,0.3282470107078552,63.96954345703125,0.71875,0.5884268283843994,0.6537538766860962,0.8881765746159823
9,0.7328935861587524,1.8322339057922363,8184.40234375,0.21515032649040222,0.003,1.530829397816632,0.35379695892333984,0.6056466102600098,0.8723219037055969,0.7694281339645386,0.3289506733417511,0.2641682028770447,85.30015563964844,0.71875,0.45894238352775574,0.7893718481063843,0.9146441970235741
10,0.6831856966018677,1.7079641819000244,4093.474609375,0.22831448912620544,0.003333333333333333,1.006571172503542,0.3743821978569031,0.4858548641204834,0.7598708271980286,0.6480239629745483,0.4359374940395355,0.2156686782836914,45.71836853027344,0.71875,0.4578126072883606,0.790407657623291,0.8903318419589045
11,0.6410111784934998,1.6025279760360718,8188.0322265625,0.21537497639656067,0.0036666666666666666,0.9001246395647704,0.37569326162338257,0.4201382100582123,0.6773737668991089,0.5815651416778564,0.3971153795719147,0.1461114138364792,76.77823638916016,0.71875,0.4466780424118042,0.8004786968231201,0.8992442125845178
12,0.6287605166435242,1.5719013214111328,10228.7802734375,0.20445914566516876,0.004,0.907289899861493,0.3690621554851532,0.3970951437950134,0.6746306419372559,0.5652675628662109,0.3345833420753479,0.11607016623020172,95.9471435546875,0.71875,0.4290637969970703,0.8159042596817017,0.9209270119169193
13,0.599679172039032,1.4991978406906128,8184.36328125,0.2115851491689682,0.004333333333333334,1.0351439764424535,0.34162044525146484,0.33784961700439453,0.5400737524032593,0.5430875420570374,0.3333079218864441,0.16396784782409668,85.29739379882812,0.71875,0.4185114800930023,0.8248481154441833,0.9380221190055511
14,0.5615253448486328,1.403813362121582,12281.9716796875,0.20367492735385895,0.004666666666666667,1.2255424155243853,0.3202151656150818,0.2662477493286133,0.43477171659469604,0.4356769919395447,0.34050506353378296,0.2155487835407257,95.9718017578125,0.71875,0.3963867723941803,0.8428775072097778,0.9686785225253843
15,0.5832418203353882,1.4581044912338257,10241.498046875,0.20342667400836945,0.005,1.3879797204645499,0.4124453663825989,0.27377086877822876,0.39209920167922974,0.44645389914512634,0.30768072605133057,0.28793632984161377,95.99903106689453,0.71875,0.500637412071228,0.7493621706962585,0.9452889254058239
16,0.6062307357788086,1.5155768394470215,2048.168212890625,0.2063763439655304,0.004998292650357557,1.939650839988972,0.4468125104904175,0.37534022331237793,0.4215782880783081,0.38684841990470886,0.3337779641151428,0.3161226511001587,32.01166915893555,0.71875,0.5317224860191345,0.7172712087631226,0.9331550582032591
17,0.558840274810791,1.3971006870269775,6141.86962890625,0.20075440406799316,0.00499317293346447,1.4802924726535345,0.42095932364463806,0.18554319441318512,0.2648501694202423,0.36475658416748047,0.3293442726135254,0.3895573616027832,63.98755645751953,0.71875,0.4901289939880371,0.7597736120223999,0.9627350732955535
18,0.5686562061309814,1.4216405153274536,2045.78759765625,0.20600011944770813,0.004984647842238185,1.47252957597508,0.4114135503768921,0.20894765853881836,0.2381245344877243,0.3919101357460022,0.3222509026527405,0.4201919138431549,31.99679946899414,0.71875,0.4840165376663208,0.7657279968261719,0.9570074007252671
