id,project_id,task_name,task_type,status,baseline_start,type,base_cost,total_cost,risk_factor,duration_months,duration_weeks,duration_days,duration_hours,calendar_type,internal_labor_cost,overtime_cost,equipment_fuel_cost,qa_qc_cost,material_cost,outsourcing_cost,training_cost,facility_rent,communication_cost,utilities_cost,insurance_cost,licensing_cost,warranty_cost,complexity,weather_contingency,general_contingency,rework_risk,holding_cost,international_freight,handling_cost,reverse_logistics,defect_cost,overtime_hours,lag_time,metadata_json
17_305,17,Installation of the jacket foundations 17,,Pending,2013-08-27 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_306,17,Installation of the jacket foundations 18,,Pending,2013-09-05 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_307,17,Installation of the jacket foundations 19,,Pending,2013-09-14 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_308,17,Installation of the jacket foundations 20,,Pending,2013-09-23 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_309,17,Installation of the jacket foundations 21,,Pending,2013-10-02 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_31,17,Transport (Hoboken to Vlissingen) 1,,Pending,2013-04-03 06:00:00,,14500.00,15370.00,1.0600,0.00,0.00,1.00,16.00,,0.00,0.00,0.00,0.00,14500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0015,0.0085,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_310,17,Installation of the jacket foundations 22,,Pending,2013-10-11 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_311,17,Installation of the jacket foundations 23,,Pending,2013-10-20 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_312,17,Installation of the jacket foundations 24,,Pending,2013-10-29 06:00:00,,146240.00,182800.00,1.2500,0.00,0.00,1.00,16.00,,88320.00,0.00,57920.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_313,17,Transport of the jacket foundations 1,,Pending,2013-05-04 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_314,17,Transport of the jacket foundations 2,,Pending,2013-05-03 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_315,17,Transport of the jacket foundations 3,,Pending,2013-04-29 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_316,17,Transport of the jacket foundations 4,,Pending,2013-05-02 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_317,17,Transport of the jacket foundations 5,,Pending,2013-05-14 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_318,17,Transport of the jacket foundations 6,,Pending,2013-05-19 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_319,17,Transport of the jacket foundations 7,,Pending,2013-05-28 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_320,17,Transport of the jacket foundations 8,,Pending,2013-06-06 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_321,17,Transport of the jacket foundations 9,,Pending,2013-06-15 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_322,17,Transport of the jacket foundations 10,,Pending,2013-06-24 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
17_323,17,Transport of the jacket foundations 11,,Pending,2013-07-03 06:00:00,,44800.00,56000.00,1.2500,0.00,0.00,1.00,16.00,,24800.00,0.00,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.0300,0.1700,0.0500,0.0000,0.00,0.00,0.00,0.00,0.00,0.00,,{}
