predecessor_task_id,successor_task_id,dependency_type,lag_days
19_1,19_2,FS,0.00
19_1,19_3,FS,0.00
19_1,19_4,FS,0.00
19_4,19_5,FS,0.00
19_5,19_6,FS,0.00
19_4,19_6,FS,0.00
19_6,19_7,FS,0.00
19_5,19_7,FS,0.00
19_7,19_30,FS,0.00
19_2,19_30,FS,0.00
19_3,19_30,FS,0.00
19_30,19_8,FS,0.00
19_8,19_9,FS,0.00
19_8,19_10,FS,0.00
19_10,19_11,FS,0.00
19_10,19_12,FS,0.00
19_11,19_13,FS,0.00
19_12,19_13,FS,0.00
19_9,19_14,FS,0.00
19_10,19_14,FS,0.00
19_13,19_15,FS,0.00
19_14,19_15,FS,0.00
19_15,19_16,FS,0.00
19_15,19_17,FS,0.00
19_15,19_18,FS,0.00
19_16,19_31,FS,0.00
19_17,19_31,FS,0.00
19_18,19_31,FS,0.00
19_31,19_19,FS,0.00
19_19,19_20,FS,0.00
19_20,19_21,FS,0.00
19_21,19_22,FS,0.00
19_21,19_23,FS,0.00
19_23,19_24,FS,0.00
19_21,19_25,FS,0.00
19_21,19_26,FS,0.00
19_22,19_32,FS,0.00
19_24,19_32,FS,0.00
19_25,19_32,FS,0.00
19_26,19_32,FS,0.00
19_32,19_27,FS,0.00
19_27,19_28,FS,0.00
19_28,19_29,FS,0.00
