id,project_id,task_name,task_type,status,baseline_start,type,base_cost,total_cost,risk_factor,duration_months,duration_weeks,duration_days,duration_hours,calendar_type,internal_labor_cost,overtime_cost,equipment_fuel_cost,qa_qc_cost,material_cost,outsourcing_cost,training_cost,facility_rent,communication_cost,utilities_cost,insurance_cost,licensing_cost,warranty_cost,complexity,weather_contingency,general_contingency,rework_risk,holding_cost,international_freight,handling_cost,reverse_logistics,defect_cost,overtime_hours,lag_time,metadata_json
19_18,19,Reparing walls,,Pending,2019-06-04 08:00:00,,4180.00,5852.00,1.4000,0.00,0.00,2.00,16.00,,1280.00,0.00,0.00,0.00,2900.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_1,19,"Installation of power generators, lighting, toilets, fencing,  supply of concrete and wooden partition",,Pending,2019-05-20 08:00:00,,3920.00,5488.00,1.4000,0.00,0.00,2.00,16.00,,1920.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_10,19,Pumping lock chamber completely dry,,Pending,2019-05-29 08:00:00,,2140.00,2996.00,1.4000,0.00,0.00,1.00,8.00,,640.00,0.00,0.00,0.00,1500.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_11,19,Cleaning lock floor,,Pending,2019-05-30 08:00:00,,2620.00,3668.00,1.4000,0.00,0.00,1.00,8.00,,320.00,0.00,0.00,0.00,0.00,2300.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_12,19,supply concrete blocks (to prevent the floor comes up),,Pending,2019-05-30 08:00:00,,9720.00,13608.00,1.4000,0.00,0.00,1.00,8.00,,320.00,0.00,0.00,0.00,9400.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_13,19,placing concrete blocks,,Pending,2019-05-31 08:00:00,,3140.00,4396.00,1.4000,0.00,0.00,1.00,8.00,,640.00,0.00,0.00,0.00,2500.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.3000,0.0000,0.1000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_14,19,Cleaning walls and threshold,,Pending,2019-05-30 08:00:00,,3850.00,5390.00,1.4000,0.00,0.00,1.00,8.00,,320.00,0.00,0.00,0.00,0.00,3530.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_15,19,Installing stairs in lock chamber,,Pending,2019-06-03 08:00:00,,4160.00,5824.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,3200.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_16,19,"Replacing hinges, pivot shoes and pivots",,Pending,2019-06-04 08:00:00,,10360.00,14504.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,9400.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.3000,0.0000,0.1000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_17,19,Cleaning lock head,,Pending,2019-06-04 08:00:00,,3960.00,5544.00,1.4000,0.00,0.00,3.00,24.00,,960.00,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_19,19,Transport of gates to the site,,Pending,2019-06-07 08:00:00,,5870.00,8218.00,1.4000,0.00,0.00,1.00,8.00,,320.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.3000,0.0000,0.1000,0.0000,0.00,5550.00,0.00,0.00,,0.00,,{}
19_2,19,Remove railing and platforms,,Pending,2019-05-22 08:00:00,,4780.00,6692.00,1.4000,0.00,0.00,2.00,16.00,,1280.00,0.00,0.00,0.00,0.00,3500.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_20,19,Put gates in place,,Pending,2019-06-10 08:00:00,,24960.00,34944.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,24000.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.3000,0.0000,0.1000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_21,19,"Adjusting gates (Tightening hinges , front beams, sealing, anchorage points)",,Pending,2019-06-11 08:00:00,,8640.00,12096.00,1.4000,0.00,0.00,1.00,8.00,,640.00,0.00,0.00,0.00,8000.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.3000,0.0000,0.1000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_22,19,Installing railing,,Pending,2019-06-12 08:00:00,,2840.00,3976.00,1.4000,0.00,0.00,1.00,8.00,,640.00,0.00,0.00,0.00,2200.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_23,19,preliminary works at threshold,,Pending,2019-06-12 08:00:00,,3140.00,4396.00,1.4000,0.00,0.00,1.00,8.00,,640.00,0.00,0.00,0.00,2500.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_24,19,Repairing threshold,,Pending,2019-06-13 08:00:00,,5220.00,7308.00,1.4000,0.00,0.00,2.00,16.00,,1920.00,0.00,0.00,0.00,3300.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_25,19,Install platforms,,Pending,2019-06-12 08:00:00,,5480.00,7672.00,1.4000,0.00,0.00,2.00,16.00,,1280.00,0.00,0.00,0.00,4200.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_26,19,Installing ladder,,Pending,2019-06-12 08:00:00,,6480.00,9072.00,1.4000,0.00,0.00,2.00,16.00,,1280.00,0.00,0.00,0.00,5200.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_27,19,Remove concrete blocks,,Pending,2019-06-17 08:00:00,,3460.00,4844.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,0.00,2500.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_28,19,Remove concrete and wooden partition,,Pending,2019-06-18 08:00:00,,4560.00,6384.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,0.00,3600.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_29,19,Cleaning site,,Pending,2019-06-19 08:00:00,,4560.00,6384.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,0.00,3600.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_3,19,"preliminary works at gates (loosing hinges, disconnect hinges, hydraulics, anchorage points)",,Pending,2019-05-22 08:00:00,,5460.00,7644.00,1.4000,0.00,0.00,1.00,8.00,,960.00,0.00,0.00,0.00,4500.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.3000,0.0000,0.1000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_30,19,End Of Preparation/Start Restoration of lock head,,Pending,2019-05-27 17:00:00,,0.00,0.00,1.4000,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_31,19,End Restoration of lock head/Start Installing new gates,,Pending,2019-06-06 17:00:00,,0.00,0.00,1.4000,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
19_32,19,End Installing new gates/ Start Termination,,Pending,2019-06-14 17:00:00,,0.00,0.00,1.4000,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
