id,project_id,task_id,task_name,baseline_start,baseline_end,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,total_cost,created_at,updated_at
1,C2011-07,C2011-07_1,Compose survey for the staff,2010-01-01 01:00:00+00:00,2010-01-01 05:00:00+00:00,4.00,125.12,0.00,0.00,0.00,2.52,5.13,1.92,1.28,5.13,3.85,3.21,0.00,1.92,0.64,1.28,2.56,2.56,3.21,1.92,1.92,1.92,2.56,3.21,3.21,2.56,1.28,1.28,0.64,0.64,0.64,2.56,4.49,1.92,1.92,2.56,0.64,0.00,3.85,200.05,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
2,C2011-07,C2011-07_2,Brainstorming and filling in the survey,2010-01-11 06:00:00+00:00,2010-01-11 08:00:00+00:00,2.00,5137.28,0.00,0.00,0.00,103.26,210.65,78.99,52.66,210.65,157.99,131.66,0.00,78.99,26.33,52.66,105.32,105.32,131.66,78.99,78.99,78.99,105.32,131.66,131.66,105.32,52.66,52.66,26.33,26.33,26.33,105.32,184.32,78.99,78.99,105.32,26.33,0.00,157.99,8215.92,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
3,C2011-07,C2011-07_3,Collecting and analyzing the surveys,2010-03-02 01:00:00+00:00,2010-03-02 10:00:00+00:00,8.00,250.24,0.00,0.00,0.00,5.03,10.26,3.85,2.56,10.26,7.70,6.41,0.00,3.85,1.28,2.56,5.13,5.13,6.41,3.85,3.85,3.85,5.13,6.41,6.41,5.13,2.56,2.56,1.28,1.28,1.28,5.13,8.98,3.85,3.85,5.13,1.28,0.00,7.70,400.18,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
4,C2011-07,C2011-07_4,"Get-together PC, ICT committee & board",2010-03-03 01:00:00+00:00,2010-03-03 05:00:00+00:00,4.00,2416.32,0.00,0.00,0.00,48.57,99.08,37.16,24.77,99.08,74.31,61.92,0.00,37.16,12.38,24.77,49.54,49.54,61.92,37.16,37.16,37.16,49.54,61.92,61.92,49.54,24.77,24.77,12.38,12.38,12.38,49.54,86.69,37.16,37.16,49.54,12.38,0.00,74.31,3864.38,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
5,C2011-07,C2011-07_5,Enrollment of the meeting,2010-03-03 08:00:00+00:00,2010-03-03 10:00:00+00:00,2.00,62.56,0.00,0.00,0.00,1.26,2.56,0.96,0.64,2.56,1.92,1.60,0.00,0.96,0.32,0.64,1.28,1.28,1.60,0.96,0.96,0.96,1.28,1.60,1.60,1.28,0.64,0.64,0.32,0.32,0.32,1.28,2.25,0.96,0.96,1.28,0.32,0.00,1.92,99.99,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
6,C2011-07,C2011-07_6,Registering the technical requirements,2010-03-04 01:00:00+00:00,2010-03-05 10:00:00+00:00,16.00,942.40,0.00,0.00,0.00,18.94,38.64,14.49,9.66,38.64,28.98,24.15,0.00,14.49,4.83,9.66,19.32,19.32,24.15,14.49,14.49,14.49,19.32,24.15,24.15,19.32,9.66,9.66,4.83,4.83,4.83,19.32,33.81,14.49,14.49,19.32,4.83,0.00,28.98,1507.13,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
7,C2011-07,C2011-07_7,Set-up a detailed budget study,2010-03-22 01:00:00+00:00,2010-03-23 10:00:00+00:00,16.00,500.48,0.00,0.00,0.00,10.06,20.52,7.70,5.13,20.52,15.39,12.83,0.00,7.70,2.56,5.13,10.26,10.26,12.83,7.70,7.70,7.70,10.26,12.83,12.83,10.26,5.13,5.13,2.56,2.56,2.56,10.26,17.96,7.70,7.70,10.26,2.56,0.00,15.39,800.42,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
8,C2011-07,C2011-07_8,Putting together the formal document,2010-04-14 01:00:00+00:00,2010-04-16 10:00:00+00:00,24.00,750.72,0.00,0.00,0.00,15.09,30.78,11.54,7.70,30.78,23.09,19.24,0.00,11.54,3.85,7.70,15.39,15.39,19.24,11.54,11.54,11.54,15.39,19.24,19.24,15.39,7.70,7.70,3.85,3.85,3.85,15.39,26.93,11.54,11.54,15.39,3.85,0.00,23.09,1200.61,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
9,C2011-07,C2011-07_9,Research suppliers transport systems,2010-04-19 01:00:00+00:00,2010-04-21 10:00:00+00:00,24.00,750.72,0.00,0.00,0.00,15.09,30.78,11.54,7.70,30.78,23.09,19.24,0.00,11.54,3.85,7.70,15.39,15.39,19.24,11.54,11.54,11.54,15.39,19.24,19.24,15.39,7.70,7.70,3.85,3.85,3.85,15.39,26.93,11.54,11.54,15.39,3.85,0.00,23.09,1200.61,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
10,C2011-07,C2011-07_10,Meeting with board for final proposal,2010-04-30 06:00:00+00:00,2010-04-30 10:00:00+00:00,4.00,1974.40,0.00,0.00,0.00,39.69,80.96,30.36,20.24,80.96,60.72,50.60,0.00,30.36,10.12,20.24,40.48,40.48,50.60,30.36,30.36,30.36,40.48,50.60,50.60,40.48,20.24,20.24,10.12,10.12,10.12,40.48,70.84,30.36,30.36,40.48,10.12,0.00,60.72,3157.65,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
11,C2011-07,C2011-07_11,Contacting suppliers and sending proposal,2010-05-17 01:00:00+00:00,2010-05-18 10:00:00+00:00,16.00,500.48,0.00,0.00,0.00,10.06,20.52,7.70,5.13,20.52,15.39,12.83,0.00,7.70,2.56,5.13,10.26,10.26,12.83,7.70,7.70,7.70,10.26,12.83,12.83,10.26,5.13,5.13,2.56,2.56,2.56,10.26,17.96,7.70,7.70,10.26,2.56,0.00,15.39,800.42,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
12,C2011-07,C2011-07_12,Analyzing the received offers,2010-06-09 01:00:00+00:00,2010-06-11 10:00:00+00:00,24.00,750.72,0.00,0.00,0.00,15.09,30.78,11.54,7.70,30.78,23.09,19.24,0.00,11.54,3.85,7.70,15.39,15.39,19.24,11.54,11.54,11.54,15.39,19.24,19.24,15.39,7.70,7.70,3.85,3.85,3.85,15.39,26.93,11.54,11.54,15.39,3.85,0.00,23.09,1200.61,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
13,C2011-07,C2011-07_13,Presentation to board & ICT staff,2010-07-12 01:00:00+00:00,2010-07-12 10:00:00+00:00,8.00,4832.64,0.00,0.00,0.00,97.14,198.16,74.31,49.54,198.16,148.62,123.85,0.00,74.31,24.77,49.54,99.08,99.08,123.85,74.31,74.31,74.31,99.08,123.85,123.85,99.08,49.54,49.54,24.77,24.77,24.77,99.08,173.39,74.31,74.31,99.08,24.77,0.00,148.62,7728.79,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
14,C2011-07,C2011-07_14,Collecting and registering comments on offers,2010-08-03 01:00:00+00:00,2010-08-03 10:00:00+00:00,8.00,250.24,0.00,0.00,0.00,5.03,10.26,3.85,2.56,10.26,7.70,6.41,0.00,3.85,1.28,2.56,5.13,5.13,6.41,3.85,3.85,3.85,5.13,6.41,6.41,5.13,2.56,2.56,1.28,1.28,1.28,5.13,8.98,3.85,3.85,5.13,1.28,0.00,7.70,400.18,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
15,C2011-07,C2011-07_15,Taking final decision and contacting supplier,2010-09-15 01:00:00+00:00,2010-09-16 10:00:00+00:00,16.00,500.48,0.00,0.00,0.00,10.06,20.52,7.70,5.13,20.52,15.39,12.83,0.00,7.70,2.56,5.13,10.26,10.26,12.83,7.70,7.70,7.70,10.26,12.83,12.83,10.26,5.13,5.13,2.56,2.56,2.56,10.26,17.96,7.70,7.70,10.26,2.56,0.00,15.39,800.42,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
16,C2011-07,C2011-07_16,Discussing project development with supplier,2010-09-17 01:00:00+00:00,2010-09-21 10:00:00+00:00,24.00,750.72,0.00,0.00,0.00,15.09,30.78,11.54,7.70,30.78,23.09,19.24,0.00,11.54,3.85,7.70,15.39,15.39,19.24,11.54,11.54,11.54,15.39,19.24,19.24,15.39,7.70,7.70,3.85,3.85,3.85,15.39,26.93,11.54,11.54,15.39,3.85,0.00,23.09,1200.61,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
17,C2011-07,C2011-07_17,Discussing project development with board,2010-11-15 06:00:00+00:00,2010-11-15 10:00:00+00:00,4.00,1863.92,0.00,0.00,0.00,37.47,76.43,28.66,19.11,76.43,57.32,47.77,0.00,28.66,9.55,19.11,38.21,38.21,47.77,28.66,28.66,28.66,38.21,47.77,47.77,38.21,19.11,19.11,9.55,9.55,9.55,38.21,66.88,28.66,28.66,38.21,9.55,0.00,57.32,2980.92,2026-08-14 17:34:31.672856+00:00,2026-08-14 17:34:31.672856+00:00
