predecessor_task_id,successor_task_id,dependency_type,lag_days
16_1,16_2,FS,0.00
16_2,16_3,FS,0.00
16_3,16_4,FS,0.00
16_4,16_5,FS,0.00
16_5,16_6,FS,0.00
16_6,16_7,FS,0.00
16_7,16_8,FS,0.00
16_7,16_9,FS,0.00
16_9,16_14,FS,0.00
16_9,16_11,FS,0.00
16_11,16_12,FS,0.00
16_11,16_19,FS,0.00
16_19,16_20,FS,0.00
16_19,16_17,FS,0.00
16_17,16_22,FS,0.00
16_8,16_24,FS,0.00
16_12,16_24,FS,0.00
16_14,16_24,FS,0.00
16_20,16_24,FS,0.00
16_22,16_24,FS,0.00
16_24,16_25,FS,0.00
16_25,16_26,FS,0.00
16_26,16_27,FS,0.00
16_27,16_28,FS,0.00
16_28,16_29,FS,0.00
16_29,16_30,FS,0.00
16_30,16_31,FS,0.00
16_31,16_32,FS,0.00
16_32,16_33,FS,0.00
16_33,16_34,FS,0.00
16_34,16_35,FS,0.00
16_35,16_36,FS,0.00
16_8,16_41,FS,0.00
16_12,16_41,FS,0.00
16_14,16_41,FS,0.00
16_20,16_41,FS,0.00
16_22,16_41,FS,0.00
16_41,16_42,FS,0.00
16_42,16_38,FS,0.00
16_38,16_39,FS,0.00
16_41,16_63,FS,0.00
16_39,16_62,FS,0.00
16_62,16_66,FS,0.00
16_63,16_66,FS,0.00
16_66,16_67,FS,0.00
16_67,16_68,FS,0.00
16_68,16_69,FS,0.00
16_69,16_70,FS,0.00
16_70,16_82,FS,0.00
16_82,16_83,FS,0.00
16_83,16_75,FS,0.00
16_75,16_73,FS,0.00
16_73,16_72,FS,0.00
16_83,16_80,FS,0.00
16_75,16_78,FS,0.00
16_75,16_77,FS,0.00
16_72,16_48,FS,0.00
16_77,16_48,FS,0.00
16_78,16_48,FS,0.00
16_80,16_48,FS,0.00
16_48,16_49,FS,0.00
16_49,16_46,FS,0.00
16_46,16_44,FS,0.00
16_36,16_58,FS,0.00
16_44,16_58,FS,0.00
16_58,16_59,FS,0.00
16_59,16_52,FS,0.00
16_52,16_51,FS,0.00
16_51,16_55,FS,0.00
16_55,16_56,FS,0.00
16_56,16_85,FS,0.00
16_36,16_85,FS,0.00
16_85,16_86,FS,0.00
16_85,16_87,FS,0.00
16_87,16_88,FS,0.00
16_85,16_89,FS,0.00
16_86,16_91,FS,0.00
16_88,16_91,FS,0.00
16_89,16_91,FS,0.00
16_86,16_92,FS,0.00
16_88,16_92,FS,0.00
16_89,16_92,FS,0.00
16_92,16_93,FS,0.00
16_93,16_94,FS,0.00
