ID,resource_name,resource_type,unit_cost,capacity
173,Labourers,Renewable,60.00,10.00
174,Truck IVECO Trakker,Renewable,70.00,6.00
175,Bulldozer D8T,Renewable,75.00,1.00
176,Wheel Loader,Renewable,60.00,2.00
177,Sheepfoot rolles,Renewable,70.00,2.00
178,Smooth Roller,Renewable,60.00,2.00
179,Crawler Excavator,Renewable,98.00,2.00
180,Drilling Rid,Renewable,75.00,1.00
181,Concrete Mixer Truck,Renewable,95.00,1.00
182,Crane,Renewable,105.00,1.00
183,Paler,Renewable,65.00,1.00
184,Cold Milling Machine,Renewable,230.00,1.00
185,Pile Driver,Renewable,48.00,1.00
186,Pruning Machine,Renewable,40.00,1.00
187,Tank Truck,Renewable,78.00,1.00
188,Line Striper Machine,Renewable,30.00,1.00
189,Materials,Consumable,1.00,1.00
190,Paving Material,Consumable,1.00,1.00
