source_id,target_id,dependency_type,lag_months,lag_weeks,lag_days,lag_hours
C2012-04_1,C2012-04_2,FS,0,0,0,0
C2012-04_2,C2012-04_3,FS,0,0,0,0
C2012-04_3,C2012-04_4,FS,0,0,0,0
C2012-04_4,C2012-04_5,FS,0,0,0,0
C2012-04_5,C2012-04_6,FS,0,0,0,0
C2012-04_6,C2012-04_7,FS,0,0,0,0
C2012-04_7,C2012-04_8,FS,0,0,0,0
C2012-04_7,C2012-04_9,FS,0,0,0,0
C2012-04_9,C2012-04_14,FS,0,0,0,0
C2012-04_9,C2012-04_11,FS,0,0,0,0
C2012-04_11,C2012-04_12,FS,0,0,0,0
C2012-04_11,C2012-04_19,FS,0,0,0,0
C2012-04_19,C2012-04_20,FS,0,0,0,0
C2012-04_19,C2012-04_17,FS,0,0,0,0
C2012-04_17,C2012-04_22,FS,0,0,0,0
C2012-04_8,C2012-04_24,FS,0,0,0,0
C2012-04_12,C2012-04_24,FS,0,0,0,0
C2012-04_14,C2012-04_24,FS,0,0,0,0
C2012-04_20,C2012-04_24,FS,0,0,0,0
C2012-04_22,C2012-04_24,FS,0,0,0,0
C2012-04_24,C2012-04_25,FS,0,0,0,0
C2012-04_25,C2012-04_26,FS,0,0,0,0
C2012-04_26,C2012-04_27,FS,0,0,0,0
C2012-04_27,C2012-04_28,FS,0,0,0,0
C2012-04_28,C2012-04_29,FS,0,0,0,0
C2012-04_29,C2012-04_30,FS,0,0,0,0
C2012-04_30,C2012-04_31,FS,0,0,0,0
C2012-04_31,C2012-04_32,FS,0,0,0,0
C2012-04_32,C2012-04_33,FS,0,0,0,0
C2012-04_33,C2012-04_34,FS,0,0,0,0
C2012-04_34,C2012-04_35,FS,0,0,0,0
C2012-04_35,C2012-04_36,FS,0,0,0,0
C2012-04_8,C2012-04_41,FS,0,0,0,0
C2012-04_12,C2012-04_41,FS,0,0,0,0
C2012-04_14,C2012-04_41,FS,0,0,0,0
C2012-04_20,C2012-04_41,FS,0,0,0,0
C2012-04_22,C2012-04_41,FS,0,0,0,0
C2012-04_41,C2012-04_42,FS,0,0,0,0
C2012-04_42,C2012-04_38,FS,0,0,0,0
C2012-04_38,C2012-04_39,FS,0,0,0,0
C2012-04_41,C2012-04_63,FS,0,0,0,0
C2012-04_39,C2012-04_62,FS,0,0,0,0
C2012-04_62,C2012-04_66,FS,0,0,0,0
C2012-04_63,C2012-04_66,FS,0,0,0,0
C2012-04_66,C2012-04_67,FS,0,0,0,0
C2012-04_67,C2012-04_68,FS,0,0,0,0
C2012-04_68,C2012-04_69,FS,0,0,0,0
C2012-04_69,C2012-04_70,FS,0,0,0,0
C2012-04_70,C2012-04_82,FS,0,0,0,0
C2012-04_82,C2012-04_83,FS,0,0,0,0
C2012-04_83,C2012-04_75,FS,0,0,0,0
C2012-04_75,C2012-04_73,FS,0,0,0,0
C2012-04_73,C2012-04_72,FS,0,0,0,0
C2012-04_83,C2012-04_80,FS,0,0,0,0
C2012-04_75,C2012-04_78,FS,0,0,0,0
C2012-04_75,C2012-04_77,FS,0,0,0,0
C2012-04_72,C2012-04_48,FS,0,0,0,0
C2012-04_77,C2012-04_48,FS,0,0,0,0
C2012-04_78,C2012-04_48,FS,0,0,0,0
C2012-04_80,C2012-04_48,FS,0,0,0,0
C2012-04_48,C2012-04_49,FS,0,0,0,0
C2012-04_49,C2012-04_46,FS,0,0,0,0
C2012-04_46,C2012-04_44,FS,0,0,0,0
C2012-04_36,C2012-04_58,FS,0,0,0,0
C2012-04_44,C2012-04_58,FS,0,0,0,0
C2012-04_58,C2012-04_59,FS,0,0,0,0
C2012-04_59,C2012-04_52,FS,0,0,0,0
C2012-04_52,C2012-04_51,FS,0,0,0,0
C2012-04_51,C2012-04_55,FS,0,0,0,0
C2012-04_55,C2012-04_56,FS,0,0,0,0
C2012-04_56,C2012-04_85,FS,0,0,0,0
C2012-04_36,C2012-04_85,FS,0,0,0,0
C2012-04_85,C2012-04_86,FS,0,0,0,0
C2012-04_85,C2012-04_87,FS,0,0,0,0
C2012-04_87,C2012-04_88,FS,0,0,0,0
C2012-04_85,C2012-04_89,FS,0,0,0,0
C2012-04_86,C2012-04_91,FS,0,0,0,0
C2012-04_88,C2012-04_91,FS,0,0,0,0
C2012-04_89,C2012-04_91,FS,0,0,0,0
C2012-04_86,C2012-04_92,FS,0,0,0,0
C2012-04_88,C2012-04_92,FS,0,0,0,0
C2012-04_89,C2012-04_92,FS,0,0,0,0
C2012-04_92,C2012-04_93,FS,0,0,0,0
C2012-04_93,C2012-04_94,FS,0,0,0,0
