task_id,duration_factor,expected_delay,uncertainty_sigma
C2012-04_1,1.1354,1.2412,0.7564
C2012-04_2,1.1274,3.5132,1.8896
C2012-04_3,1.0741,4.1892,2.0514
C2012-04_4,1.1166,5.2284,2.2885
C2012-04_5,1.1706,8.2989,2.3882
C2012-04_6,1.1181,9.362,2.5441
C2012-04_7,1.1237,13.8305,4.25
C2012-04_8,1.1006,14.7198,4.2801
C2012-04_9,1.111,17.8111,5.3228
C2012-04_14,1.1223,18.9116,5.6319
C2012-04_11,1.1318,18.9977,5.36
C2012-04_12,1.1237,30.1337,9.4498
C2012-04_19,1.2967,64.39,15.5396
C2012-04_20,1.0905,66.0199,15.8647
C2012-04_17,1.2013,78.8868,17.3672
C2012-04_22,1.1335,84.8954,17.2444
C2012-04_24,1.0713,85.5368,17.2317
C2012-04_25,1.0501,87.3393,17.4332
C2012-04_26,1.0967,96.0399,17.5136
C2012-04_27,1.0978,97.8003,17.6006
C2012-04_28,1.0884,105.7519,20.0072
C2012-04_29,1.0857,106.5234,20.075
C2012-04_30,1.149,119.9332,23.6509
C2012-04_31,1.0506,120.3887,23.6218
C2012-04_32,1.1275,131.865,25.3916
C2012-04_33,1.0831,132.6128,25.5375
C2012-04_34,1.0701,133.2439,25.5026
C2012-04_35,1.0769,140.1683,27.7542
C2012-04_36,1.2154,163.4288,30.7003
C2012-04_41,1.0754,85.574,17.0764
C2012-04_42,1.1297,91.4083,17.379
C2012-04_38,1.2538,134.8047,24.4215
C2012-04_39,1.053,135.759,24.6628
C2012-04_63,1.0698,86.202,17.0735
C2012-04_62,1.1383,139.4918,24.8846
C2012-04_66,1.129,140.6524,24.9814
C2012-04_67,1.108,150.3755,26.5991
C2012-04_68,1.1303,151.5479,26.5072
C2012-04_69,1.1246,152.6694,26.4491
C2012-04_70,1.0859,160.3986,27.3522
C2012-04_82,1.1377,161.6377,27.3002
C2012-04_83,1.2332,186.8184,29.0687
C2012-04_75,1.222,270.7504,52.8729
C2012-04_73,1.0594,271.2854,52.9228
C2012-04_72,1.0955,272.1451,52.8508
C2012-04_80,1.1097,188.7931,29.5232
C2012-04_78,1.1013,271.6622,52.8856
C2012-04_77,1.0561,271.7608,52.9264
C2012-04_48,1.1467,273.9337,53.0217
C2012-04_49,1.1326,277.5149,52.948
C2012-04_46,1.1712,292.9198,53.9642
C2012-04_44,1.1168,293.9706,54.0463
C2012-04_58,1.1357,295.1919,54.0505
C2012-04_59,1.2007,311.4464,55.9011
C2012-04_52,1.1596,320.0627,55.7732
C2012-04_51,1.172,332.4483,56.8831
C2012-04_55,1.1411,338.7961,56.8824
C2012-04_56,1.1972,352.9967,56.838
C2012-04_85,1.2251,413.7813,67.1448
C2012-04_86,1.2793,481.6498,72.3731
C2012-04_87,1.1734,427.829,69.4262
C2012-04_88,1.091,431.1053,69.2564
C2012-04_89,1.1309,416.1378,66.957
C2012-04_91,1.1634,483.1207,72.093
C2012-04_92,1.05,482.1,72.3443
C2012-04_93,1.1204,486.4354,72.1282
C2012-04_94,1.1198,487.5136,72.0088
