id,project_id,task_name,task_type,status,baseline_start,type,base_cost,total_cost,risk_factor,duration_months,duration_weeks,duration_days,duration_hours,calendar_type,internal_labor_cost,overtime_cost,equipment_fuel_cost,qa_qc_cost,material_cost,outsourcing_cost,training_cost,facility_rent,communication_cost,utilities_cost,insurance_cost,licensing_cost,warranty_cost,complexity,weather_contingency,general_contingency,rework_risk,holding_cost,international_freight,handling_cost,reverse_logistics,defect_cost,overtime_hours,lag_time,metadata_json
18_45,18,35. Payment of the construction firm,,Pending,2019-07-12 08:00:00,,240.00,336.00,1.4000,0.00,0.00,1.00,8.00,,240.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_10,18,8. Feasibility study,,Pending,2019-02-07 08:00:00,,2800.00,3920.00,1.4000,0.00,0.00,7.00,56.00,,2800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_11,18,"9. Search for funding (VC, Business angels, bankloan)",,Pending,2019-02-18 08:00:00,,2880.00,4032.00,1.4000,0.00,0.00,12.00,96.00,,2880.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_13,18,10. Contact city to get the approval,,Pending,2019-03-06 08:00:00,,4800.00,6720.00,1.4000,0.00,0.00,20.00,160.00,,4800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_14,18,11. Asking city for blue prints power network,,Pending,2019-04-10 08:00:00,,4800.00,6720.00,1.4000,0.00,0.00,20.00,160.00,,4800.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_15,18,12. Meeting with car leasers + quotation,,Pending,2019-04-10 08:00:00,,6000.00,8400.00,1.4000,0.00,0.00,25.00,200.00,,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_16,18,13. Meeting with docking station suppliers,,Pending,2019-05-08 08:00:00,,6000.00,8400.00,1.4000,0.00,0.00,25.00,200.00,,6000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_17,18,14. Meeting with possible contractors,,Pending,2019-06-12 08:00:00,,2400.00,3360.00,1.4000,0.00,0.00,10.00,80.00,,2400.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_19,18,15. Web/app developer search,,Pending,2019-04-03 08:00:00,,1200.00,1680.00,1.4000,0.00,0.00,5.00,40.00,,1200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
18_20,18,16. Developing website/app,,Pending,2019-04-10 08:00:00,,90000.00,126000.00,1.4000,0.00,0.00,70.00,560.00,,0.00,0.00,0.00,0.00,90000.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.2000,0.0000,0.2000,0.0000,0.00,0.00,0.00,0.00,,0.00,,{}
