predecessor_task_id,successor_task_id,dependency_type,lag_days
18_3,18_4,FS,0.00
18_4,18_5,FS,0.00
18_5,18_6,FS,0.00
18_5,18_7,FS,0.00
18_5,18_8,FS,0.00
18_6,18_9,FS,0.00
18_8,18_9,FS,0.00
18_7,18_9,FS,0.00
18_9,18_10,FS,0.00
18_10,18_11,FS,0.00
18_11,18_13,FS,0.00
18_13,18_14,FS,0.00
18_13,18_15,FS,0.00
18_14,18_16,FS,0.00
18_16,18_17,FS,0.00
18_13,18_19,FS,0.00
18_19,18_20,FS,0.00
18_20,18_21,FS,0.00
18_21,18_22,FS,0.00
18_21,18_23,FS,0.00
18_15,18_25,FS,0.00
18_17,18_27,FS,0.00
18_27,18_28,FS,0.00
18_28,18_29,FS,0.00
18_28,18_30,FS,0.00
18_28,18_31,FS,0.00
18_29,18_32,FS,0.00
18_32,18_34,FS,0.00
18_30,18_34,FS,0.00
18_31,18_34,FS,0.00
18_15,18_34,FS,0.00
18_34,18_36,FS,0.00
18_36,18_37,FS,0.00
18_37,18_39,FS,0.00
18_23,18_41,FS,0.00
18_22,18_41,FS,0.00
18_28,18_42,FS,0.00
18_29,18_43,FS,0.00
18_30,18_44,FS,0.00
18_31,18_44,FS,0.00
18_27,18_45,FS,0.00
18_34,18_46,FS,0.00
18_41,18_48,FS,0.00
18_42,18_48,FS,0.00
18_43,18_48,FS,0.00
18_44,18_48,FS,0.00
18_45,18_48,FS,0.00
18_46,18_48,FS,0.00
