task_id,duration_factor,expected_delay,uncertainty_sigma
C2018-09_3,1.2248,17.9829,7.7104
C2018-09_4,1.1267,24.0659,8.352
C2018-09_5,1.1736,32.3986,9.8916
C2018-09_6,1.0854,33.7649,9.8997
C2018-09_7,1.1162,33.3281,10.0275
C2018-09_8,1.1906,33.9233,9.7916
C2018-09_9,1.1839,38.1781,9.5706
C2018-09_10,1.2057,49.6962,11.4307
C2018-09_11,1.2326,72.0261,15.648
C2018-09_13,1.3295,124.7463,22.4968
C2018-09_14,1.2381,162.8381,25.871
C2018-09_15,1.3616,197.0608,31.3116
C2018-09_16,1.2713,217.0997,29.3118
C2018-09_17,1.2739,239.0082,29.9594
C2018-09_19,1.1459,130.582,23.6323
C2018-09_20,1.2392,264.5263,56.6335
C2018-09_21,1.2782,386.9174,69.5475
C2018-09_22,1.2464,416.4908,68.7401
C2018-09_23,1.1964,410.4877,70.4042
C2018-09_25,1.2681,239.9513,35.0735
C2018-09_27,1.2371,261.7698,31.2331
C2018-09_28,1.1921,280.2101,31.9645
C2018-09_29,1.1921,298.6472,31.7712
C2018-09_30,1.0871,284.3913,32.9286
C2018-09_31,1.1148,285.7184,32.0952
C2018-09_32,1.0022,298.752,32.6666
C2018-09_34,1.1087,303.9717,33.2044
C2018-09_36,1.1477,309.8801,33.7412
C2018-09_37,1.277,354.206,34.5867
C2018-09_39,1.3118,391.6185,36.228
C2018-09_41,1.1492,421.5478,69.3095
C2018-09_42,1.1837,281.6801,32.0572
C2018-09_43,1.097,299.4233,31.8327
C2018-09_44,1.0907,287.9543,32.4384
C2018-09_45,1.1423,262.9085,31.2633
C2018-09_46,1.1916,305.5049,33.1742
C2018-09_48,1.0392,421.8615,69.3041
