task_id,baseline_start,baseline_end,predecessors,successors
C2018-09_3,2019-01-01 08:00:00,,[],[]
C2018-09_4,2019-01-15 08:00:00,,['C2018-09_3'],[]
C2018-09_5,2019-01-23 08:00:00,,['C2018-09_4'],[]
C2018-09_6,2019-01-31 08:00:00,,['C2018-09_5'],[]
C2018-09_7,2019-01-31 08:00:00,,['C2018-09_5'],[]
C2018-09_8,2019-01-31 08:00:00,,['C2018-09_5'],[]
C2018-09_9,2019-02-04 08:00:00,,"['C2018-09_6', 'C2018-09_8', 'C2018-09_7']",[]
C2018-09_10,2019-02-07 08:00:00,,['C2018-09_9'],[]
C2018-09_11,2019-02-18 08:00:00,,['C2018-09_10'],[]
C2018-09_13,2019-03-06 08:00:00,,['C2018-09_11'],[]
C2018-09_14,2019-04-10 08:00:00,,['C2018-09_13'],[]
C2018-09_15,2019-04-10 08:00:00,,['C2018-09_13'],[]
C2018-09_16,2019-05-08 08:00:00,,['C2018-09_14'],[]
C2018-09_17,2019-06-12 08:00:00,,['C2018-09_16'],[]
C2018-09_19,2019-04-03 08:00:00,,['C2018-09_13'],[]
C2018-09_20,2019-04-10 08:00:00,,['C2018-09_19'],[]
C2018-09_21,2019-07-17 08:00:00,,['C2018-09_20'],[]
C2018-09_22,2019-10-02 08:00:00,,['C2018-09_21'],[]
C2018-09_23,2019-10-02 08:00:00,,['C2018-09_21'],[]
C2018-09_25,2019-06-19 08:00:00,,['C2018-09_15'],[]
C2018-09_27,2019-06-26 08:00:00,,['C2018-09_17'],[]
C2018-09_28,2019-07-12 08:00:00,,['C2018-09_27'],[]
C2018-09_29,2019-07-30 08:00:00,,['C2018-09_28'],[]
C2018-09_30,2019-07-30 08:00:00,,['C2018-09_28'],[]
C2018-09_31,2019-07-30 08:00:00,,['C2018-09_28'],[]
C2018-09_32,2019-08-15 08:00:00,,['C2018-09_29'],[]
C2018-09_34,2019-08-23 08:00:00,,"['C2018-09_32', 'C2018-09_30', 'C2018-09_31', 'C2018-09_15']",[]
C2018-09_36,2019-09-02 08:00:00,,['C2018-09_34'],[]
C2018-09_37,2019-09-09 08:00:00,,['C2018-09_36'],[]
C2018-09_39,2019-10-07 08:00:00,,['C2018-09_37'],[]
C2018-09_41,2019-10-23 08:00:00,,"['C2018-09_23', 'C2018-09_22']",[]
C2018-09_42,2019-07-30 08:00:00,,['C2018-09_28'],[]
C2018-09_43,2019-08-15 08:00:00,,['C2018-09_29'],[]
C2018-09_44,2019-08-07 08:00:00,,"['C2018-09_30', 'C2018-09_31']",[]
C2018-09_45,2019-07-12 08:00:00,,['C2018-09_27'],[]
C2018-09_46,2019-09-02 08:00:00,,['C2018-09_34'],[]
C2018-09_48,2019-10-23 17:00:00,,"['C2018-09_41', 'C2018-09_42', 'C2018-09_43', 'C2018-09_44', 'C2018-09_45', 'C2018-09_46']",[]
