task_id,duration_factor,expected_delay,uncertainty_sigma
C2019-16_1,1.1714,2.7549,1.4302
C2019-16_2,1.0453,3.5163,1.8042
C2019-16_3,1.1028,3.5726,1.6092
C2019-16_4,1.1164,3.6858,1.6922
C2019-16_5,1.0597,4.1509,1.8128
C2019-16_6,1.0816,4.8035,1.8938
C2019-16_7,1.1132,5.7092,1.9843
C2019-16_30,1.0124,5.8085,2.1623
C2019-16_8,1.1129,6.7119,2.2511
C2019-16_9,1.1613,8.0021,2.4362
C2019-16_10,1.1583,7.9786,2.2539
C2019-16_11,1.1558,9.2249,2.3363
C2019-16_12,1.1488,9.1686,2.5725
C2019-16_13,1.1682,10.9582,2.6477
C2019-16_14,1.1486,9.6127,2.2824
C2019-16_15,1.1756,12.3627,3.0198
C2019-16_16,1.0682,12.9083,3.0869
C2019-16_17,1.1351,15.6043,3.6049
C2019-16_18,1.0589,13.3054,3.339
C2019-16_31,1.0235,15.7926,3.7061
C2019-16_19,1.0318,16.0468,3.7483
C2019-16_20,1.0995,16.8426,3.9092
C2019-16_21,1.1021,17.6593,4.0159
C2019-16_22,1.109,18.5316,4.1952
C2019-16_23,1.0702,18.2212,3.9734
C2019-16_24,1.1627,20.8241,4.2518
C2019-16_25,1.1514,20.0817,4.3706
C2019-16_26,1.0666,18.7242,3.9531
C2019-16_32,0.9539,20.4553,4.3065
C2019-16_27,1.1075,21.3153,4.1643
C2019-16_28,1.0616,21.808,4.0757
C2019-16_29,1.0976,22.5887,3.938
