task_id,baseline_start,baseline_end,duration_hours,labor,material,equipment,energy,testing_inspection,project_management,facility,utilities,communication,training,quality_management,overtime,delay_penalty,inventory_holding,waiting_cost,idle_resource,revenue_delay,expediting,insurance,rework,warranty,litigation,regulatory_compliance,contingency_reserve,management_reserve,transportation,ordering,packaging,reverse_logistics,customs,supplier_coordination,opportunity_cost,capital_cost,financing_cost,npv_loss,esg_cost,carbon_tax,reputation_cost,task_name,total_cost
C2019-16_1,2019-05-20 08:00:00,2019-05-21T17:00:00,16.0,1920.0,2000.0,0.0,0.0,119.952,123.551,82.367,41.184,41.184,20.592,61.775,0.0,82.367,82.367,41.184,41.184,61.775,41.184,102.959,82.367,61.775,41.184,61.775,102.959,82.367,102.959,41.184,20.592,61.775,41.184,82.367,41.184,82.367,82.367,61.775,61.775,41.184,41.184,"Installation of power generators, lighting, toilets, fencing,  supply of concrete and wooden partition",6057.95
C2019-16_2,2019-05-22 08:00:00,2019-05-23T17:00:00,16.0,1280.0,3500.0,0.0,0.0,146.268,150.656,100.437,50.219,50.219,25.109,75.328,0.0,100.437,100.437,50.219,50.219,75.328,50.219,125.547,100.437,75.328,50.219,75.328,125.547,100.437,125.547,50.219,25.109,75.328,50.219,100.437,50.219,100.437,100.437,75.328,75.328,50.219,50.219,Remove railing and platforms,7386.98
C2019-16_3,2019-05-22 08:00:00,2019-05-22T17:00:00,8.0,960.0,4500.0,0.0,0.0,167.076,172.088,114.726,57.363,57.363,28.681,86.044,0.0,114.726,114.726,57.363,57.363,86.044,57.363,143.407,114.726,86.044,57.363,86.044,143.407,114.726,143.407,57.363,28.681,86.044,57.363,114.726,57.363,114.726,114.726,86.044,86.044,57.363,57.363,"preliminary works at gates (loosing hinges, disconnect hinges, hydraulics, anchorage points)",8437.86
C2019-16_4,2019-05-22 08:00:00,2019-05-22T17:00:00,8.0,640.0,2000.0,0.0,0.0,80.784,83.208,55.472,27.736,27.736,13.868,41.604,0.0,55.472,55.472,27.736,27.736,41.604,27.736,69.34,55.472,41.604,27.736,41.604,69.34,55.472,69.34,27.736,13.868,41.604,27.736,55.472,27.736,55.472,55.472,41.604,41.604,27.736,27.736,Sealing canal lock gates at other side and overflow sewers,4079.85
C2019-16_5,2019-05-23 08:00:00,2019-05-23T17:00:00,8.0,960.0,4800.0,0.0,0.0,176.256,181.544,121.029,60.515,60.515,30.257,90.772,0.0,121.029,121.029,60.515,60.515,90.772,60.515,151.286,121.029,90.772,60.515,90.772,151.286,121.029,151.286,60.515,30.257,90.772,60.515,121.029,60.515,121.029,121.029,90.772,90.772,60.515,60.515,Placing of concrete partition + Placing of wooden partition,8901.47
C2019-16_6,2019-05-24 08:00:00,2019-05-24T17:00:00,8.0,640.0,2500.0,0.0,0.0,96.084,98.967,65.978,32.989,32.989,16.494,49.483,0.0,65.978,65.978,32.989,32.989,49.483,32.989,82.472,65.978,49.483,32.989,49.483,82.472,65.978,82.472,32.989,16.494,49.483,32.989,65.978,32.989,65.978,65.978,49.483,49.483,32.989,32.989,Installing pumps,4852.54
C2019-16_7,2019-05-27 08:00:00,2019-05-27T17:00:00,8.0,960.0,1100.0,0.0,0.0,63.036,64.927,43.285,21.642,21.642,10.821,32.464,0.0,43.285,43.285,21.642,21.642,32.464,21.642,54.106,43.285,32.464,21.642,32.464,54.106,43.285,54.106,21.642,10.821,32.464,21.642,43.285,21.642,43.285,43.285,32.464,32.464,21.642,21.642,Check safety wooden partition + Check safety concrete partition,3183.51
C2019-16_30,2019-05-27 17:00:00,2019-05-28T17:00:00,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,End Of Preparation/Start Restoration of lock head,
C2019-16_8,2019-05-28 08:00:00,2019-05-28T17:00:00,8.0,640.0,19300.0,0.0,0.0,610.164,628.469,418.979,209.49,209.49,104.745,314.234,0.0,418.979,418.979,209.49,209.49,314.234,209.49,523.724,418.979,314.234,209.49,314.234,523.724,418.979,523.724,209.49,104.745,314.234,209.49,418.979,209.49,418.979,418.979,314.234,314.234,209.49,209.49,Remove gates,30815.16
C2019-16_9,2019-05-29 08:00:00,2019-05-29T17:00:00,8.0,960.0,2000.0,0.0,0.0,90.576,93.293,62.196,31.098,31.098,15.549,46.647,0.0,62.196,62.196,31.098,31.098,46.647,31.098,77.744,62.196,46.647,31.098,46.647,77.744,62.196,77.744,31.098,15.549,46.647,31.098,62.196,31.098,62.196,62.196,46.647,46.647,31.098,31.098,Remove hinges,4574.37
C2019-16_10,2019-05-29 08:00:00,2019-05-29T17:00:00,8.0,640.0,1500.0,0.0,0.0,65.484,67.449,44.966,22.483,22.483,11.241,33.724,0.0,44.966,44.966,22.483,22.483,33.724,22.483,56.207,44.966,33.724,22.483,33.724,56.207,44.966,56.207,22.483,11.241,33.724,22.483,44.966,22.483,44.966,44.966,33.724,33.724,22.483,22.483,Pumping lock chamber completely dry,3307.15
C2019-16_11,2019-05-30 08:00:00,2019-05-30T17:00:00,8.0,320.0,2300.0,0.0,0.0,80.172,82.577,55.051,27.526,27.526,13.763,41.289,0.0,55.051,55.051,27.526,27.526,41.289,27.526,68.814,55.051,41.289,27.526,41.289,68.814,55.051,68.814,27.526,13.763,41.289,27.526,55.051,27.526,55.051,55.051,41.289,41.289,27.526,27.526,Cleaning lock floor,4048.93
