task_id,baseline_start,baseline_end,predecessors,successors
C2019-16_1,2019-05-20 08:00:00,,[],[]
C2019-16_2,2019-05-22 08:00:00,,['C2019-16_1'],[]
C2019-16_3,2019-05-22 08:00:00,,['C2019-16_1'],[]
C2019-16_4,2019-05-22 08:00:00,,['C2019-16_1'],[]
C2019-16_5,2019-05-23 08:00:00,,['C2019-16_4'],[]
C2019-16_6,2019-05-24 08:00:00,,"['C2019-16_5', 'C2019-16_4']",[]
C2019-16_7,2019-05-27 08:00:00,,"['C2019-16_6', 'C2019-16_5']",[]
C2019-16_30,2019-05-27 17:00:00,,"['C2019-16_7', 'C2019-16_2', 'C2019-16_3']",[]
C2019-16_8,2019-05-28 08:00:00,,['C2019-16_30'],[]
C2019-16_9,2019-05-29 08:00:00,,['C2019-16_8'],[]
C2019-16_10,2019-05-29 08:00:00,,['C2019-16_8'],[]
C2019-16_11,2019-05-30 08:00:00,,['C2019-16_10'],[]
C2019-16_12,2019-05-30 08:00:00,,['C2019-16_10'],[]
C2019-16_13,2019-05-31 08:00:00,,"['C2019-16_11', 'C2019-16_12']",[]
C2019-16_14,2019-05-30 08:00:00,,"['C2019-16_9', 'C2019-16_10']",[]
C2019-16_15,2019-06-03 08:00:00,,"['C2019-16_13', 'C2019-16_14']",[]
C2019-16_16,2019-06-04 08:00:00,,['C2019-16_15'],[]
C2019-16_17,2019-06-04 08:00:00,,['C2019-16_15'],[]
C2019-16_18,2019-06-04 08:00:00,,['C2019-16_15'],[]
C2019-16_31,2019-06-06 17:00:00,,"['C2019-16_16', 'C2019-16_17', 'C2019-16_18']",[]
C2019-16_19,2019-06-07 08:00:00,,['C2019-16_31'],[]
C2019-16_20,2019-06-10 08:00:00,,['C2019-16_19'],[]
C2019-16_21,2019-06-11 08:00:00,,['C2019-16_20'],[]
C2019-16_22,2019-06-12 08:00:00,,['C2019-16_21'],[]
C2019-16_23,2019-06-12 08:00:00,,['C2019-16_21'],[]
C2019-16_24,2019-06-13 08:00:00,,['C2019-16_23'],[]
C2019-16_25,2019-06-12 08:00:00,,['C2019-16_21'],[]
C2019-16_26,2019-06-12 08:00:00,,['C2019-16_21'],[]
C2019-16_32,2019-06-14 17:00:00,,"['C2019-16_22', 'C2019-16_24', 'C2019-16_25', 'C2019-16_26']",[]
C2019-16_27,2019-06-17 08:00:00,,['C2019-16_32'],[]
C2019-16_28,2019-06-18 08:00:00,,['C2019-16_27'],[]
C2019-16_29,2019-06-19 08:00:00,,['C2019-16_28'],[]
