task_id,baseline_start,baseline_end,predecessors,successors
1,2010-01-01 08:00:00,,[],[]
2,2010-01-11 13:00:00,,[1],[]
3,2010-03-02 08:00:00,,[2],[]
4,2010-03-03 08:00:00,,[3],[]
5,2010-03-03 15:00:00,,[4],[]
6,2010-03-04 08:00:00,,[5],[]
7,2010-03-22 08:00:00,,[6],[]
8,2010-04-14 08:00:00,,[7],[]
9,2010-04-19 08:00:00,,[8],[]
10,2010-04-30 13:00:00,,[9],[]
11,2010-05-17 08:00:00,,[10],[]
12,2010-06-09 08:00:00,,[11],[]
13,2010-07-12 08:00:00,,[12],[]
14,2010-08-03 08:00:00,,[13],[]
15,2010-09-15 08:00:00,,[14],[]
16,2010-09-17 08:00:00,,[15],[]
17,2010-11-15 13:00:00,,[16],[]
18,2010-12-28 08:00:00,,[17],[]
19,2010-12-30 08:00:00,,[18],[]
20,2010-04-26 08:00:00,,[8],[]
21,2010-05-07 08:00:00,,[20],[]
22,2010-05-26 08:00:00,,[21],[]
23,2010-06-04 08:00:00,,[22],[]
24,2010-06-08 10:00:00,,[23],[]
25,2010-06-14 08:00:00,,[24],[]
26,2010-06-14 13:00:00,,[25],[]
27,2011-01-06 08:00:00,,"[26, 19]",[]
28,2011-01-06 15:00:00,,[27],[]
29,2011-01-07 08:00:00,,[28],[]
30,2011-01-07 08:00:00,,[28],[]
31,2011-01-10 08:00:00,,[28],[]
32,2011-01-11 08:00:00,,[31],[]
33,2011-06-21 08:00:00,,[46],[]
34,2011-01-07 08:00:00,,[28],[]
35,2011-02-11 08:00:00,,[34],[]
36,2011-01-17 08:00:00,,"[29, 31]",[]
37,2011-02-15 08:00:00,,"[36, 35]",[]
38,2011-02-24 08:00:00,,"[30, 32, 37]",[]
39,2011-02-28 08:00:00,,[38],[]
40,2011-03-02 08:00:00,,[39],[]
41,2011-03-04 08:00:00,,[40],[]
42,2011-03-08 08:00:00,,[41],[]
43,2011-03-10 08:00:00,,[42],[]
44,2011-02-23 08:00:00,,"[30, 32, 37]",[]
45,2011-03-10 08:00:00,,[44],[]
46,2011-03-14 08:00:00,,"[43, 45]",[]
47,2011-06-22 08:00:00,,[33],[]
48,2011-06-28 13:00:00,,[47],[]
49,2011-06-29 08:00:00,,[48],[]
