predecessor_task_id,successor_task_id,dependency_type,lag_days
15_1,15_2,FS,1.00
15_2,15_3,FS,0.00
15_3,15_4,FS,0.00
15_4,15_5,FS,0.00
15_5,15_6,FS,0.00
15_6,15_7,FS,0.00
15_7,15_8,FS,0.00
15_8,15_9,FS,0.00
15_9,15_10,FS,1.00
15_10,15_11,FS,0.00
15_11,15_12,FS,0.00
15_12,15_13,FS,0.00
15_13,15_14,FS,0.00
15_14,15_15,FS,0.00
15_15,15_16,FS,0.00
15_16,15_17,FS,3.00
15_17,15_18,FS,0.00
15_18,15_19,FS,0.00
15_8,15_20,FS,0.00
15_20,15_21,FS,2.00
15_21,15_22,FS,0.00
15_22,15_23,FS,0.00
15_23,15_24,FS,2.00
15_24,15_25,FS,1.00
15_25,15_26,FS,0.00
15_26,15_27,FS,0.00
15_19,15_27,FS,4.00
15_27,15_28,FS,0.00
15_28,15_29,FS,0.00
15_28,15_30,FS,0.00
15_28,15_31,FS,0.00
15_31,15_32,FS,0.00
15_46,15_33,FS,0.00
15_28,15_34,FS,0.00
15_34,15_35,FS,4.00
15_29,15_36,FS,0.00
15_31,15_36,FS,0.00
15_36,15_37,FS,2.00
15_35,15_37,FF,0.00
15_30,15_38,FS,0.00
15_32,15_38,FS,0.00
15_37,15_38,FS,0.00
15_38,15_39,FS,0.00
15_39,15_40,FS,0.00
15_40,15_41,FS,0.00
15_41,15_42,FS,0.00
15_42,15_43,FS,0.00
15_30,15_44,FS,0.00
15_32,15_44,FS,0.00
15_37,15_44,FS,0.00
15_44,15_45,FS,0.00
15_43,15_46,FS,0.00
15_45,15_46,FS,0.00
15_33,15_47,FS,0.00
15_47,15_48,FS,4.00
15_48,15_49,FS,0.00
